Läkemedelsstatistik
Mått;Läkemedel;Region;Kön;Ålder;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Stockholms län;Båda könen;0­19;1174;944;305;915;675;627;626;623;495;397;466;521;471;450;396;264;276;197;207;135
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Uppsala län;Båda könen;0­19;292;241;79;186;115;60;63;71;58;69;56;114;103;95;68;49;39;11;18;3
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Södermanlands län;Båda könen;0­19;411;300;104;308;256;136;103;100;83;70;63;71;35;23;20;20;14;8;8;14
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Östergötlands län;Båda könen;0­19;137;129;33;83;114;102;67;65;76;69;84;112;84;113;76;49;33;24;24;20
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Jönköpings län;Båda könen;0­19;8;13;23;33;54;27;47;33;11;11;38;41;33;94;78;31;41;46;21;7
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Kronobergs län;Båda könen;0­19;10;13;1;5;15;19;20;17;18;25;35;36;81;69;39;45;45;33;39;12
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Kalmar län;Båda könen;0­19;29;13;3;41;35;23;30;25;36;37;57;99;183;205;91;35;85;79;45;25
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Gotlands län;Båda könen;0­19;33;36;21;44;32;26;58;72;51;24;29;30;13;8;8;16;4;20;11;14
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Blekinge län;Båda könen;0­19;61;38;24;82;107;90;80;89;59;56;117;230;306;251;132;103;106;127;92;94
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Skåne län;Båda könen;0­19;366;286;132;410;375;361;344;280;254;172;221;297;349;329;212;102;139;104;90;75
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Hallands län;Båda könen;0­19;16;29;11;108;52;33;31;27;27;21;58;74;72;70;50;18;47;32;32;8
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Västra Götalands län;Båda könen;0­19;676;530;202;1014;876;361;244;180;166;132;220;224;325;321;343;203;241;123;106;118
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Värmlands län;Båda könen;0­19;97;97;20;136;154;91;87;102;101;76;109;179;296;295;298;125;33;51;23;6
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Örebro län;Båda könen;0­19;16;20;1;27;24;29;30;30;25;30;42;58;77;91;59;41;48;36;22;4
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Västmanlands län;Båda könen;0­19;163;295;75;209;144;81;87;79;52;51;80;82;60;38;50;32;13;8;8;5
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Dalarnas län;Båda könen;0­19;148;113;65;299;270;137;134;164;105;55;123;150;165;138;145;127;153;101;47;38
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Gävleborgs län;Båda könen;0­19;151;131;57;171;142;117;114;119;111;127;119;187;289;263;241;137;103;119;119;123
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Västernorrlands län;Båda könen;0­19;88;123;54;118;110;101;166;149;80;64;120;93;85;64;63;47;47;67;52;37
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Jämtlands län;Båda könen;0­19;54;79;32;87;106;84;117;137;123;90;104;160;137;125;70;82;117;188;208;162
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Västerbottens län;Båda könen;0­19;17;8;10;46;85;53;67;85;132;76;221;326;433;360;208;115;149;169;242;213
Antal expedieringar;J07BA01 Vaccin mot fästingburen encefalit, inaktiverat helvirusvaccin;Norrbottens län;Båda könen;0­19;44;41;27;111;96;59;75;103;108;102;135;209;190;252;288;137;176;135;202;212
Socialstyrelsens statistikdatabas 2026-05-07
