Region,År,Målgrupp,Täckning_procent,Antal_doser,Antal_individer,Källa
Uppsala,2023,Barn_3dos,24,,,Region Uppsala årsrapport 2025
Uppsala,2024,Barn_3dos,31,,,Region Uppsala årsrapport 2025
Uppsala,2025,Barn_3dos,40,20600,15700,Region Uppsala årsrapport 2025
Södermanland,2017,Barn_0-18,,5870,,Vårdgivarguiden graf
Södermanland,2018,Barn_0-18,,13342,,Vårdgivarguiden graf
Södermanland,2019,Barn_0-18,,14072,,Vårdgivarguiden graf
Södermanland,2020,Barn_0-18,,7481,,Vårdgivarguiden graf
Södermanland,2021,Barn_0-18,,5571,,Vårdgivarguiden graf
Södermanland,2022,Barn_0-18,,7848,,Vårdgivarguiden graf
Södermanland,2023,Barn_0-18,,8379,,Vårdgivarguiden graf
Södermanland,2024,Barn_0-18,,7270,,Vårdgivarguiden graf
Södermanland,2025,Barn_0-18,,6776,,Vårdgivarguiden graf
Södermanland,2017,Vuxna_19+,,11522,,Vårdgivarguiden graf
Södermanland,2018,Vuxna_19+,,14893,,Vårdgivarguiden graf
Södermanland,2019,Vuxna_19+,,14226,,Vårdgivarguiden graf
Södermanland,2020,Vuxna_19+,,10336,,Vårdgivarguiden graf
Södermanland,2021,Vuxna_19+,,7682,,Vårdgivarguiden graf
Södermanland,2022,Vuxna_19+,,10975,,Vårdgivarguiden graf
Södermanland,2023,Vuxna_19+,,14705,,Vårdgivarguiden graf
Södermanland,2024,Vuxna_19+,,11258,,Vårdgivarguiden graf
Södermanland,2025,Vuxna_19+,,9604,,Vårdgivarguiden graf
Västmanland,2019,Totalt,,13208,,Svt.se
Västmanland,2020,Totalt,,7424,,Svt.se
Västmanland,2021,Totalt,,5463,,Svt.se
Västmanland,2022,Totalt,,7212,,Svt.se
Västmanland,2023,Barn_3-19,,10134,,Läkemedelsvärlden
Västmanland,2023,Vuxna_20-64,,8183,,Läkemedelsvärlden
Västmanland,2023,Övriga_ej_spec,,5091,,Läkemedelsvärlden
Västmanland,2024,Totalt,,22118,,Svt.se
